"","accuracy","balanced_accuracy","fscore","seed","type_of_image","model"
"1",0.917808219178082,0.864495798319328,0.8125,171,"rgb","bagging"
"2",0.931506849315068,0.907563025210084,0.854368932038835,269,"rgb","bagging"
"3",0.885844748858447,0.816351540616246,0.736842105263158,289,"rgb","bagging"
"4",0.922374429223744,0.874299719887955,0.824742268041237,376,"rgb","bagging"
"5",0.926940639269406,0.870448179271709,0.829787234042553,404,"rgb","bagging"
"6",0.917808219178082,0.850840336134454,0.804347826086957,42,"rgb","bagging"
"7",0.894977168949772,0.829131652661064,0.757894736842105,51,"rgb","bagging"
"8",0.922374429223744,0.887955182072829,0.831683168316832,666,"rgb","bagging"
"9",0.922374429223744,0.894782913165266,0.83495145631068,720,"rgb","bagging"
"10",0.945205479452055,0.896008403361345,0.872340425531915,767,"rgb","bagging"
"11",0.895454545454546,0.829272537417334,0.757894736842105,171,"rgb","cnn_raw"
"12",0.859090909090909,0.730305139807402,0.617283950617284,404,"rgb","cnn_raw"
"13",0.904545454545455,0.835189697180647,0.774193548387097,42,"rgb","cnn_raw"
"14",0.877272727272727,0.783211509455853,0.696629213483146,51,"rgb","cnn_raw"
"15",0.895454545454546,0.801891170669451,0.735632183908046,666,"rgb","cnn_raw"
"16",0.872727272727273,0.766562246200255,0.674418604651163,171,"rgb","cnn_rgb"
"17",0.845454545454545,0.748810766910314,0.630434782608696,404,"rgb","cnn_rgb"
"18",0.84641638225256,0.754140786749482,0.64,42,"rgb","cnn_rgb"
"19",0.881818181818182,0.793015431024481,0.711111111111111,51,"rgb","cnn_rgb"
"20",0.895454545454546,0.856653904165216,0.776699029126214,666,"rgb","cnn_rgb"
"21",0.899543378995434,0.852591036414566,0.78,171,"rgb","dt"
"22",0.894977168949772,0.863270308123249,0.780952380952381,269,"rgb","dt"
"23",0.812785388127854,0.748249299719888,0.60952380952381,289,"rgb","dt"
"24",0.908675799086758,0.858543417366947,0.795918367346939,376,"rgb","dt"
"25",0.885844748858447,0.80952380952381,0.731182795698925,404,"rgb","dt"
"26",0.885844748858447,0.823179271708683,0.742268041237113,42,"rgb","dt"
"27",0.821917808219178,0.747373949579832,0.613861386138614,51,"rgb","dt"
"28",0.872146118721461,0.834733893557423,0.735849056603774,666,"rgb","dt"
"29",0.863013698630137,0.815126050420168,0.711538461538462,720,"rgb","dt"
"30",0.89041095890411,0.826155462184874,0.75,767,"rgb","dt"
"31",0.899543378995434,0.811624649859944,0.75,171,"rgb","knn"
"32",0.926940639269406,0.856792717086835,0.822222222222222,269,"rgb","knn"
"33",0.894977168949772,0.79499299719888,0.729411764705882,289,"rgb","knn"
"34",0.917808219178082,0.830357142857143,0.790697674418605,376,"rgb","knn"
"35",0.91324200913242,0.834208683473389,0.786516853932584,404,"rgb","knn"
"36",0.908675799086758,0.824404761904762,0.772727272727273,42,"rgb","knn"
"37",0.91324200913242,0.841036414565826,0.791208791208791,51,"rgb","knn"
"38",0.917808219178082,0.878151260504202,0.82,666,"rgb","knn"
"39",0.894977168949772,0.81547619047619,0.747252747252747,720,"rgb","knn"
"40",0.917808219178082,0.830357142857143,0.790697674418605,767,"rgb","knn"
"41",0.886363636363636,0.775437985845226,0.698795180722892,171,"rgb","lwcnn_raw"
"42",0.881818181818182,0.820396797772363,0.73469387755102,404,"rgb","lwcnn_raw"
"43",0.881818181818182,0.834087481146305,0.745098039215686,42,"rgb","lwcnn_raw"
"44",0.859090909090909,0.81244924005105,0.704761904761905,51,"rgb","lwcnn_raw"
"45",0.868181818181818,0.736222299570716,0.632911392405063,666,"rgb","lwcnn_raw"
"46",0.872727272727273,0.793943612948138,0.702127659574468,171,"rgb","lwcnn_rgb"
"47",0.840909090909091,0.77323355377654,0.653465346534653,404,"rgb","lwcnn_rgb"
"48",0.859090909090909,0.805603898364079,0.699029126213592,42,"rgb","lwcnn_rgb"
"49",0.845454545454545,0.721429400162432,0.595238095238095,51,"rgb","lwcnn_rgb"
"50",0.886363636363636,0.843891402714932,0.757281553398058,666,"rgb","lwcnn_rgb"
"51",0.868181818181818,0.743067641257686,0.641975308641975,171,"rgb","resnet_rgb"
"52",0.886363636363636,0.782283327532196,0.705882352941177,404,"rgb","resnet_rgb"
"53",0.868181818181818,0.736222299570716,0.632911392405063,42,"rgb","resnet_rgb"
"54",0.854545454545454,0.761573268360599,0.652173913043478,51,"rgb","resnet_rgb"
"55",0.854545454545454,0.693119851490892,0.555555555555556,666,"rgb","resnet_rgb"
"56",0.926940639269406,0.870448179271709,0.829787234042553,171,"rgb","rf"
"57",0.926940639269406,0.884103641456583,0.836734693877551,269,"rgb","rf"
"58",0.885844748858447,0.795868347338936,0.719101123595506,289,"rgb","rf"
"59",0.931506849315068,0.887079831932773,0.845360824742268,376,"rgb","rf"
"60",0.91324200913242,0.8546918767507,0.8,404,"rgb","rf"
"61",0.922374429223744,0.846988795518207,0.808988764044944,42,"rgb","rf"
"62",0.917808219178082,0.844012605042017,0.8,51,"rgb","rf"
"63",0.926940639269406,0.884103641456583,0.836734693877551,666,"rgb","rf"
"64",0.908675799086758,0.865371148459384,0.8,720,"rgb","rf"
"65",0.917808219178082,0.850840336134454,0.804347826086957,767,"rgb","rf"
"66",0.899543378995434,0.838935574229692,0.770833333333333,171,"rgb","ridge"
"67",0.931506849315068,0.866596638655462,0.835164835164835,269,"rgb","ridge"
"68",0.908675799086758,0.85171568627451,0.791666666666667,289,"rgb","ridge"
"69",0.908675799086758,0.844887955182073,0.787234042553192,376,"rgb","ridge"
"70",0.945205479452055,0.896008403361345,0.872340425531915,404,"rgb","ridge"
"71",0.926940639269406,0.849964985994398,0.818181818181818,42,"rgb","ridge"
"72",0.91324200913242,0.861519607843137,0.804123711340206,51,"rgb","ridge"
"73",0.945205479452055,0.923319327731092,0.882352941176471,666,"rgb","ridge"
"74",0.958904109589041,0.932247899159664,0.909090909090909,720,"rgb","ridge"
"75",0.931506849315068,0.859768907563025,0.831460674157303,767,"rgb","ridge"
"76",0.936073059360731,0.869572829131653,0.844444444444444,171,"rgb","svm"
"77",0.931506849315068,0.866596638655462,0.835164835164835,269,"rgb","svm"
"78",0.894977168949772,0.822303921568627,0.752688172043011,289,"rgb","svm"
"79",0.926940639269406,0.877275910364146,0.833333333333333,376,"rgb","svm"
"80",0.904109589041096,0.814600840336134,0.758620689655172,404,"rgb","svm"
"81",0.917808219178082,0.844012605042017,0.8,42,"rgb","svm"
"82",0.908675799086758,0.85171568627451,0.791666666666667,51,"rgb","svm"
"83",0.922374429223744,0.874299719887955,0.824742268041237,666,"rgb","svm"
"84",0.917808219178082,0.844012605042017,0.8,720,"rgb","svm"
"85",0.917808219178082,0.844012605042017,0.8,767,"rgb","svm"
"86",0.936363636363636,0.890126464787098,0.854166666666667,171,"rgb","vgg19_rgb"
"87",0.936363636363636,0.862745098039216,0.840909090909091,404,"rgb","vgg19_rgb"
"88",0.954545454545455,0.936187492748579,0.901960784313726,42,"rgb","vgg19_rgb"
"89",0.95,0.919538229492981,0.888888888888889,51,"rgb","vgg19_rgb"
"90",0.968181818181818,0.945063232393549,0.929292929292929,666,"rgb","vgg19_rgb"
